时间标识,帧ID,数据
2026-04-29 08:15:37.866.570,18f181a0,00 01 00 1d 57 00 00 00
2026-04-29 08:15:37.867.146,18f182a0,00 00 03 00 03 00 01 00
2026-04-29 08:15:37.867.722,18f183a0,00 00 00 00 00 00 00 00
2026-04-29 08:15:37.868.307,18f184a0,00 00 00 00 00 00 00 00
2026-04-29 08:15:37.868.891,18f185a0,36 0b 00 00 00 00 00 00
2026-04-29 08:15:37.869.467,18f186a0,02 01 03 01 01 00 00 00
2026-04-29 08:15:37.871.204,18f189a0,00 00 00 00 00 00 00 00
2026-04-29 08:15:38.366.566,18f181a0,00 01 00 1d 58 00 00 00
2026-04-29 08:15:38.367.139,18f182a0,00 00 03 00 03 00 01 00
2026-04-29 08:15:38.367.715,18f183a0,00 00 00 00 00 00 00 00
2026-04-29 08:15:38.368.299,18f184a0,00 00 d8 ff d8 ff 00 00
2026-04-29 08:15:38.368.863,18f185a0,36 0b 00 00 00 00 00 00
2026-04-29 08:15:38.369.440,18f186a0,02 01 03 01 01 00 5f 19
2026-04-29 08:15:38.371.129,18f189a0,00 00 00 00 00 00 00 00
2026-04-29 08:15:38.866.559,18f181a0,00 01 00 1d 57 00 00 00
2026-04-29 08:15:38.867.135,18f182a0,00 00 03 00 03 00 01 00
2026-04-29 08:15:38.867.711,18f183a0,00 00 00 00 00 00 00 00
2026-04-29 08:15:38.868.295,18f184a0,00 00 1c 00 17 00 00 00
2026-04-29 08:15:38.868.867,18f185a0,36 0b 00 00 00 00 00 00
2026-04-29 08:15:38.869.443,18f186a0,02 01 03 01 01 00 5f 19
2026-04-29 08:15:38.871.131,18f189a0,00 00 00 00 00 00 00 00
2026-04-29 08:15:39.366.555,18f181a0,00 01 00 1d 57 00 00 00
2026-04-29 08:15:39.367.131,18f182a0,00 00 03 00 03 00 01 00
2026-04-29 08:15:39.367.707,18f183a0,00 00 00 00 00 00 00 00
2026-04-29 08:15:39.368.291,18f184a0,00 00 1c 00 17 00 00 00
2026-04-29 08:15:39.368.863,18f185a0,36 0b 00 00 00 00 00 00
2026-04-29 08:15:39.369.440,18f186a0,02 01 03 01 01 00 5f 19
2026-04-29 08:15:39.371.128,18f189a0,00 00 00 00 00 00 00 00
2026-04-29 08:15:39.866.549,18f181a0,00 01 00 1d 58 00 00 00
2026-04-29 08:15:39.867.121,18f182a0,00 00 03 00 03 00 01 00
2026-04-29 08:15:39.867.697,18f183a0,00 00 00 00 00 00 00 00
2026-04-29 08:15:39.868.282,18f184a0,00 00 1c 00 17 00 00 00
2026-04-29 08:15:39.868.854,18f185a0,36 0b 00 00 00 00 00 00
2026-04-29 08:15:39.869.430,18f186a0,02 01 03 01 01 00 5f 19
2026-04-29 08:15:39.871.119,18f189a0,00 00 00 00 00 00 00 00
2026-04-29 08:15:40.366.546,18f181a0,00 01 00 1d 57 00 00 00
2026-04-29 08:15:40.367.122,18f182a0,00 00 03 00 03 00 01 00
2026-04-29 08:15:40.367.698,18f183a0,00 00 00 00 00 00 00 00
2026-04-29 08:15:40.368.283,18f184a0,00 00 1c 00 17 00 00 00
2026-04-29 08:15:40.368.855,18f185a0,36 0b 00 00 00 00 00 00
2026-04-29 08:15:40.369.431,18f186a0,02 01 03 01 01 00 5f 19
2026-04-29 08:15:40.371.119,18f189a0,00 00 00 00 00 00 00 00
2026-04-29 08:15:40.866.538,18f181a0,00 01 00 1d 58 00 00 00
2026-04-29 08:15:40.867.110,18f182a0,00 00 03 00 03 00 02 00
2026-04-29 08:15:40.867.683,18f183a0,c4 09 00 00 00 00 20 00
2026-04-29 08:15:40.868.255,18f184a0,24 00 1c 00 17 00 2e 00
2026-04-29 08:15:40.868.815,18f185a0,36 0b 00 00 00 00 00 00
2026-04-29 08:15:40.869.391,18f186a0,02 01 03 01 01 00 5f 19
2026-04-29 08:15:40.871.081,18f189a0,00 00 00 00 00 00 1a 00
2026-04-29 08:15:41.366.535,18f181a0,00 01 00 1d 57 00 00 00
2026-04-29 08:15:41.367.111,18f182a0,00 00 03 00 03 00 01 00
2026-04-29 08:15:41.367.688,18f183a0,c4 09 00 00 00 00 10 00
2026-04-29 08:15:41.368.260,18f184a0,14 00 1c 00 17 00 2e 00
2026-04-29 08:15:41.368.820,18f185a0,36 0b 00 00 20 1c 00 00
2026-04-29 08:15:41.369.393,18f186a0,02 01 03 01 01 00 5f 19
2026-04-29 08:15:41.371.082,18f189a0,00 00 00 00 00 00 1a 00
2026-04-29 08:15:41.866.527,18f181a0,00 01 00 1d 57 00 00 00
2026-04-29 08:15:41.867.104,18f182a0,00 00 03 00 03 00 01 00
2026-04-29 08:15:41.867.680,18f183a0,c4 09 00 00 00 00 04 00
2026-04-29 08:15:41.868.252,18f184a0,06 00 1c 00 17 00 2e 00
2026-04-29 08:15:41.868.812,18f185a0,36 0b 00 00 20 1c 00 00
2026-04-29 08:15:41.869.384,18f186a0,02 01 03 01 01 00 5f 19
2026-04-29 08:15:41.871.072,18f189a0,00 00 00 00 00 00 1a 00
2026-04-29 08:15:42.366.523,18f181a0,00 01 00 1d 57 00 00 00
2026-04-29 08:15:42.367.099,18f182a0,00 00 03 00 03 00 01 00
2026-04-29 08:15:42.367.676,18f183a0,c4 09 00 00 00 00 00 00
2026-04-29 08:15:42.368.252,18f184a0,02 00 1c 00 17 00 2e 00
2026-04-29 08:15:42.368.812,18f185a0,36 0b 00 00 20 1c 00 00
2026-04-29 08:15:42.369.384,18f186a0,02 01 03 01 01 00 5f 19
2026-04-29 08:15:42.371.074,18f189a0,00 00 00 00 00 00 1a 00
2026-04-29 08:15:42.866.519,18f181a0,00 01 00 1d 57 00 00 00
2026-04-29 08:15:42.867.095,18f182a0,00 00 03 00 03 00 01 00
2026-04-29 08:15:42.867.671,18f183a0,c4 09 00 00 00 00 00 00
2026-04-29 08:15:42.868.247,18f184a0,00 00 1c 00 17 00 2e 00
2026-04-29 08:15:42.868.816,18f185a0,36 0b 00 00 20 1c 00 00
2026-04-29 08:15:42.869.388,18f186a0,02 01 03 01 01 00 5f 19
2026-04-29 08:15:42.871.077,18f189a0,00 00 00 00 00 00 1a 00
2026-04-29 08:15:43.366.512,18f181a0,00 01 00 1d 57 00 00 00
2026-04-29 08:15:43.367.088,18f182a0,00 00 03 00 03 00 01 00
2026-04-29 08:15:43.367.665,18f183a0,c4 09 00 00 00 00 00 00
2026-04-29 08:15:43.368.241,18f184a0,00 00 1c 00 17 00 2e 00
2026-04-29 08:15:43.368.809,18f185a0,36 0b 00 00 20 1c 00 00
2026-04-29 08:15:43.369.381,18f186a0,02 01 03 01 01 00 5f 19
2026-04-29 08:15:43.371.070,18f189a0,00 00 00 00 00 00 1a 00
2026-04-29 08:15:43.866.506,18f181a0,00 01 00 1d 57 00 00 00
2026-04-29 08:15:43.867.083,18f182a0,00 00 03 00 03 00 01 00
2026-04-29 08:15:43.867.659,18f183a0,c4 09 00 00 00 00 00 00
2026-04-29 08:15:43.868.235,18f184a0,00 00 1c 00 17 00 2e 00
2026-04-29 08:15:43.868.804,18f185a0,36 0b 00 00 20 1c 00 00
2026-04-29 08:15:43.869.376,18f186a0,02 01 03 01 01 00 5f 19
2026-04-29 08:15:43.871.557,18f189a0,00 00 00 00 00 00 1a 00
2026-04-29 08:15:44.366.503,18f181a0,00 01 00 1d 57 00 00 00
2026-04-29 08:15:44.367.079,18f182a0,00 00 03 00 03 00 01 00
2026-04-29 08:15:44.367.655,18f183a0,c4 09 00 00 00 00 00 00
2026-04-29 08:15:44.368.231,18f184a0,00 00 1c 00 17 00 2e 00
2026-04-29 08:15:44.368.800,18f185a0,36 0b 00 00 20 1c 00 00
2026-04-29 08:15:44.369.372,18f186a0,02 01 03 01 01 00 5f 19
2026-04-29 08:15:44.371.060,18f189a0,00 00 00 00 00 00 1a 00
2026-04-29 08:15:44.866.497,18f181a0,00 01 00 1d 57 00 00 00
2026-04-29 08:15:44.867.074,18f182a0,00 00 03 00 03 00 01 00
2026-04-29 08:15:44.867.650,18f183a0,c4 09 00 00 00 00 00 00
2026-04-29 08:15:44.868.226,18f184a0,00 00 1c 00 17 00 2e 00
2026-04-29 08:15:44.868.795,18f185a0,36 0b 00 00 20 1c 00 00
2026-04-29 08:15:44.869.367,18f186a0,02 01 03 01 01 00 5f 19
2026-04-29 08:15:44.871.055,18f189a0,00 00 00 00 00 00 1a 00
2026-04-29 08:15:45.366.491,18f181a0,00 01 00 1d 57 00 00 00
2026-04-29 08:15:45.367.067,18f182a0,00 00 03 00 03 00 01 00
2026-04-29 08:15:45.367.643,18f183a0,c4 09 00 00 00 00 00 00
2026-04-29 08:15:45.368.220,18f184a0,00 00 1c 00 17 00 2e 00
2026-04-29 08:15:45.368.788,18f185a0,36 0b 00 00 20 1c 00 00
2026-04-29 08:15:45.369.360,18f186a0,02 01 03 01 01 00 5f 19
2026-04-29 08:15:45.371.049,18f189a0,00 00 00 00 00 00 1a 00
