timestamp,speed_mps,engine_rpm,gear_state,emergency_stop,brake_pressure_bar,travel_pressure_bar,system_pressure_bar,clamp_pressure_bar,coolant_temp_c,surface_temp_c,exhaust_temp_c,intake_pressure_kpa,hydraulic_oil_temp_c,hydraulic_oil_level_pct,oil_pressure_kpa,diesel_level_cm,water_tank_level_pct,battery_v,total_mileage_km,runtime_min,load_state,methane_pct,co_ppm,intake_temp_c
2026-05-05 12:32:59.944.304,0.0,0.0,1,0,2.0,3.0,144.0,3.0,216.0,44.0,35.0,101.0,35.0,79.0,0.0,61.0,59.0,25.650000000000002,0.0,464.06666666666666,0,0.0,0.0,0.0
2026-05-05 12:33:00.444.298,0.0,0.0,1,0,2.0,3.0,144.0,3.0,216.0,44.0,35.0,101.0,35.0,79.0,0.0,61.0,59.0,25.67,0.0,464.0833333333333,1,0.0,0.0,0.0
2026-05-05 12:33:00.944.278,0.0,0.0,1,0,2.0,3.0,144.0,3.0,216.0,44.0,35.0,101.0,35.0,79.0,0.0,61.0,59.0,25.67,3.666,464.0833333333333,1,0.0,0.0,0.0
2026-05-05 12:33:01.444.271,0.0,0.0,1,0,2.0,3.0,144.0,3.0,216.0,44.0,35.0,101.0,35.0,79.0,0.0,61.0,59.0,25.64,3.666,464.1,1,0.0,0.0,0.0
2026-05-05 12:33:01.944.258,0.0,0.0,1,0,2.0,3.0,143.0,3.0,216.0,44.0,35.0,101.0,35.0,79.0,0.0,61.0,59.0,25.64,3.666,464.1,1,0.0,0.0,0.0
2026-05-05 12:33:02.444.252,0.0,0.0,1,0,2.0,3.0,143.0,3.0,216.0,44.0,35.0,210.0,35.0,79.0,0.0,61.0,59.0,25.88,3.666,464.1166666666667,1,0.0,0.0,0.0
2026-05-05 12:33:02.944.256,0.0,0.0,1,0,2.0,3.0,143.0,3.0,49.0,44.0,35.0,210.0,35.0,79.0,0.0,61.0,59.0,25.88,3.666,464.1166666666667,1,0.0,0.0,0.0
2026-05-05 12:33:03.444.242,0.0,0.0,1,0,2.0,3.0,143.0,3.0,49.0,44.0,35.0,210.0,35.0,79.0,0.0,61.0,59.0,26.28,3.666,464.1333333333333,1,0.0,0.0,0.0
2026-05-05 12:33:03.944.237,0.0,0.0,1,0,2.0,3.0,143.0,3.0,49.0,44.0,35.0,210.0,35.0,79.0,0.0,61.0,59.0,26.28,3.666,464.1333333333333,1,0.0,0.0,0.0
2026-05-05 12:33:04.444.221,0.0,0.0,1,0,2.0,3.0,143.0,3.0,49.0,44.0,35.0,209.0,35.0,79.0,0.0,61.0,59.0,26.32,3.666,464.15,1,0.0,0.0,0.0
2026-05-05 12:33:04.944.210,0.0,0.0,1,0,2.0,3.0,143.0,3.0,49.0,44.0,35.0,209.0,35.0,79.0,0.0,61.0,59.0,26.32,3.666,464.15,1,0.0,0.0,0.0
2026-05-05 12:33:05.444.200,0.0,0.0,1,0,2.0,3.0,143.0,3.0,49.0,44.0,35.0,209.0,35.0,79.0,0.0,61.0,59.0,26.34,3.666,464.1666666666667,1,0.0,0.0,0.0
2026-05-05 12:33:05.944.197,0.0,0.0,1,0,2.0,3.0,143.0,3.0,49.0,44.0,35.0,210.0,35.0,79.0,0.0,61.0,59.0,26.34,3.666,464.1666666666667,1,0.0,0.0,0.0
2026-05-05 12:33:06.444.189,0.0,0.0,1,0,2.0,3.0,143.0,3.0,49.0,44.0,35.0,210.0,35.0,79.0,0.0,61.0,59.0,26.34,3.666,464.18333333333334,1,0.0,0.0,0.0
2026-05-05 12:33:06.944.181,0.0,0.0,1,0,2.0,3.0,143.0,3.0,49.0,44.0,35.0,210.0,35.0,79.0,0.0,61.0,59.0,26.35,3.666,464.18333333333334,1,0.0,0.0,0.0
2026-05-05 12:33:07.444.181,0.0,0.0,1,0,2.0,3.0,143.0,3.0,49.0,44.0,35.0,210.0,35.0,79.0,0.0,61.0,59.0,26.35,3.666,464.2,1,0.0,0.0,0.0
2026-05-05 12:33:07.944.184,0.0,0.0,1,0,2.0,3.0,143.0,3.0,49.0,44.0,35.0,210.0,35.0,79.0,0.0,61.0,59.0,26.36,3.666,464.2,1,0.0,0.0,0.0
2026-05-05 12:33:08.444.172,0.0,0.0,1,0,2.0,3.0,143.0,3.0,49.0,44.0,35.0,210.0,35.0,79.0,0.0,61.0,59.0,26.36,3.666,464.21666666666664,1,0.0,0.0,0.0
2026-05-05 12:33:08.944.162,0.0,0.0,1,0,2.0,3.0,143.0,3.0,49.0,44.0,35.0,210.0,35.0,79.0,0.0,61.0,59.0,26.36,3.666,464.21666666666664,1,0.0,0.0,0.0
2026-05-05 12:33:09.444.663,0.0,0.0,1,0,2.0,3.0,143.0,3.0,49.0,44.0,35.0,210.0,35.0,79.0,0.0,61.0,59.0,26.36,3.666,464.23333333333335,1,0.0,0.0,0.0
2026-05-05 12:33:09.944.147,0.0,0.0,1,0,2.0,3.0,143.0,3.0,49.0,44.0,35.0,210.0,35.0,79.0,0.0,61.0,59.0,26.36,3.666,464.23333333333335,1,0.0,0.0,0.0
2026-05-05 12:33:10.444.138,0.0,0.0,1,0,2.0,3.0,143.0,3.0,49.0,44.0,35.0,210.0,35.0,79.0,0.0,61.0,59.0,26.36,3.666,464.25,1,0.0,0.0,0.0
2026-05-05 12:33:10.944.128,0.0,0.0,1,0,2.0,3.0,143.0,3.0,49.0,44.0,35.0,210.0,35.0,79.0,0.0,61.0,59.0,26.36,3.666,464.25,1,0.0,0.0,0.0
2026-05-05 12:33:11.444.124,0.0,0.0,1,0,2.0,3.0,143.0,3.0,49.0,44.0,35.0,210.0,35.0,79.0,0.0,61.0,59.0,26.36,3.666,464.26666666666665,1,0.0,0.0,0.0
2026-05-05 12:33:11.944.120,0.0,0.0,1,0,2.0,3.0,143.0,3.0,49.0,44.0,35.0,210.0,35.0,79.0,0.0,61.0,59.0,26.36,3.666,464.26666666666665,1,0.0,0.0,0.0
2026-05-05 12:33:12.444.106,0.0,0.0,1,0,2.0,3.0,143.0,3.0,49.0,44.0,35.0,210.0,35.0,79.0,0.0,61.0,59.0,26.36,3.666,464.28333333333336,1,0.0,0.0,0.0
