序号,方向,CAN通道,时间标识,增量时间（秒）,帧ID,帧类别,帧类型,帧格式,数据类别,DLC(数据长度,数据
0,接收,1,2026-04-24 15:39:32.390.055,0.000000,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
1,接收,1,2026-04-24 15:39:32.398.739,0.008684,2,报文帧,数据帧,标准帧,CAN,8,00 01 00 00 00 00 80 25
2,接收,1,2026-04-24 15:39:32.422.863,0.024124,18f181a0,报文帧,数据帧,扩展帧,CAN,8,00 01 00 29 57 19 00 00
3,接收,1,2026-04-24 15:39:32.423.428,0.000565,18f182a0,报文帧,数据帧,扩展帧,CAN,8,01 00 1a 00 a0 00 80 00
4,接收,1,2026-04-24 15:39:32.424.004,0.000576,18f183a0,报文帧,数据帧,扩展帧,CAN,8,c4 09 00 00 21 03 6c 01
5,接收,1,2026-04-24 15:39:32.424.560,0.000556,18f184a0,报文帧,数据帧,扩展帧,CAN,8,00 00 22 00 1f 00 2f 00
6,接收,1,2026-04-24 15:39:32.425.129,0.000569,18f185a0,报文帧,数据帧,扩展帧,CAN,8,21 0a 00 00 30 2a 00 00
7,接收,1,2026-04-24 15:39:32.425.689,0.000560,18f186a0,报文帧,数据帧,扩展帧,CAN,8,02 02 01 01 01 00 5f 19
8,接收,1,2026-04-24 15:39:32.426.249,0.000560,18f187a0,报文帧,数据帧,扩展帧,CAN,8,02 02 02 01 02 02 02 02
9,接收,1,2026-04-24 15:39:32.426.813,0.000564,18f188a0,报文帧,数据帧,扩展帧,CAN,8,02 02 00 00 00 02 01 02
10,接收,1,2026-04-24 15:39:32.427.382,0.000569,18f189a0,报文帧,数据帧,扩展帧,CAN,8,00 00 00 00 00 03 15 00
11,接收,1,2026-04-24 15:39:32.427.950,0.000568,18f190a0,报文帧,数据帧,扩展帧,CAN,8,00 00 00 00 00 00 00 00
12,接收,1,2026-04-24 15:39:32.428.531,0.000581,11d,报文帧,数据帧,标准帧,CAN,8,01 03 00 00 00 01 84 0a
13,接收,1,2026-04-24 15:39:32.454.999,0.026468,1b1,报文帧,数据帧,标准帧,CAN,5,56 27 51 12 f0
14,接收,1,2026-04-24 15:39:32.486.737,0.031738,2,报文帧,数据帧,标准帧,CAN,8,00 01 00 00 00 00 80 26
15,接收,1,2026-04-24 15:39:32.555.023,0.068286,1b1,报文帧,数据帧,标准帧,CAN,5,56 27 4e 12 f0
16,接收,1,2026-04-24 15:39:32.558.098,0.003075,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
17,接收,1,2026-04-24 15:39:32.574.734,0.016636,2,报文帧,数据帧,标准帧,CAN,8,00 01 00 00 00 00 80 26
18,接收,1,2026-04-24 15:39:32.590.045,0.015311,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
19,接收,1,2026-04-24 15:39:32.655.018,0.064973,1b1,报文帧,数据帧,标准帧,CAN,5,56 27 50 12 f0
20,接收,1,2026-04-24 15:39:32.662.729,0.007711,2,报文帧,数据帧,标准帧,CAN,8,00 01 00 00 00 00 80 27
21,接收,1,2026-04-24 15:39:32.690.040,0.027311,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
22,接收,1,2026-04-24 15:39:32.750.730,0.060690,2,报文帧,数据帧,标准帧,CAN,8,00 01 00 00 00 00 80 27
23,接收,1,2026-04-24 15:39:32.755.039,0.004309,1b1,报文帧,数据帧,标准帧,CAN,5,56 27 57 12 f0
24,接收,1,2026-04-24 15:39:32.790.032,0.034993,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
25,接收,1,2026-04-24 15:39:32.838.726,0.048694,2,报文帧,数据帧,标准帧,CAN,8,00 01 00 00 00 00 80 28
26,接收,1,2026-04-24 15:39:32.855.035,0.016309,731,报文帧,数据帧,标准帧,CAN,1,05
27,接收,1,2026-04-24 15:39:32.855.267,0.000232,1b1,报文帧,数据帧,标准帧,CAN,5,56 27 53 12 f0
28,接收,1,2026-04-24 15:39:32.922.858,0.067591,18f181a0,报文帧,数据帧,扩展帧,CAN,8,00 01 00 29 57 19 00 00
29,接收,1,2026-04-24 15:39:32.923.422,0.000564,18f182a0,报文帧,数据帧,扩展帧,CAN,8,01 00 1a 00 a0 00 80 00
30,接收,1,2026-04-24 15:39:32.923.999,0.000577,18f183a0,报文帧,数据帧,扩展帧,CAN,8,c4 09 00 00 21 03 6c 01
31,接收,1,2026-04-24 15:39:32.924.555,0.000556,18f184a0,报文帧,数据帧,扩展帧,CAN,8,00 00 22 00 1f 00 2f 00
32,接收,1,2026-04-24 15:39:32.925.124,0.000569,18f185a0,报文帧,数据帧,扩展帧,CAN,8,21 0a 00 00 30 2a 00 00
33,接收,1,2026-04-24 15:39:32.925.684,0.000560,18f186a0,报文帧,数据帧,扩展帧,CAN,8,02 02 01 01 01 00 5f 19
34,接收,1,2026-04-24 15:39:32.926.244,0.000560,18f187a0,报文帧,数据帧,扩展帧,CAN,8,02 02 02 01 02 02 02 02
35,接收,1,2026-04-24 15:39:32.926.808,0.000564,18f188a0,报文帧,数据帧,扩展帧,CAN,8,02 02 00 00 00 02 01 02
36,接收,1,2026-04-24 15:39:32.927.376,0.000568,2,报文帧,数据帧,标准帧,CAN,8,00 01 00 00 00 00 80 28
37,接收,1,2026-04-24 15:39:32.927.873,0.000497,18f189a0,报文帧,数据帧,扩展帧,CAN,8,00 00 00 00 00 02 15 00
38,接收,1,2026-04-24 15:39:32.928.441,0.000568,18f190a0,报文帧,数据帧,扩展帧,CAN,8,00 00 00 00 00 00 00 00
39,接收,1,2026-04-24 15:39:32.929.021,0.000580,181,报文帧,数据帧,标准帧,CAN,8,00 01 00 29 57 19 00 00
40,接收,1,2026-04-24 15:39:32.929.501,0.000480,182,报文帧,数据帧,标准帧,CAN,8,01 00 a0 00 1a 00 80 00
41,接收,1,2026-04-24 15:39:32.929.993,0.000492,183,报文帧,数据帧,标准帧,CAN,8,00 00 4a 00 47 00 57 00
42,接收,1,2026-04-24 15:39:32.930.473,0.000480,184,报文帧,数据帧,标准帧,CAN,8,19 00 21 03 6c 01 00 00
43,接收,1,2026-04-24 15:39:32.930.954,0.000481,185,报文帧,数据帧,标准帧,CAN,8,02 02 00 00 00 02 5f 19
44,接收,1,2026-04-24 15:39:32.931.438,0.000484,186,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 03 00 00 00
45,接收,1,2026-04-24 15:39:32.955.038,0.023600,1b1,报文帧,数据帧,标准帧,CAN,5,56 27 4f 12 f0
46,接收,1,2026-04-24 15:39:32.958.106,0.003068,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
