step,t_sec,timestamp,frame_id_hex,byte0,byte1,byte2,byte3,byte4,byte5,byte6,byte7,can_heartbeat_ok,warning_tag,control_action,risk_level
0,0.0,2026-04-22T02:43:05.879688+00:00,0x18F181A0,0,2,0,53,83,27,12,2,1,,FORWARD,normal
0,0.0,2026-04-22T02:43:05.879688+00:00,0x18F182A0,10,25,117,126,0,0,0,0,1,,FORWARD,normal
0,0.0,2026-04-22T02:43:05.879688+00:00,0x18F183A0,144,1,81,0,151,4,140,3,1,,FORWARD,normal
0,0.0,2026-04-22T02:43:05.879688+00:00,0x18F184A0,123,101,52,48,64,37,68,58,1,,FORWARD,normal
0,0.0,2026-04-22T02:43:05.879688+00:00,0x18F185A0,255,255,0,0,96,41,0,0,1,,FORWARD,normal
0,0.0,2026-04-22T02:43:05.879688+00:00,0x18F189A0,95,0,6,0,0,0,0,0,1,,FORWARD,normal
0,0.0,2026-04-22T02:43:05.879688+00:00,0x18F190A0,140,3,1,1,220,0,0,0,1,,FORWARD,normal
1,0.1,2026-04-22T02:43:05.880080+00:00,0x18F181A0,0,2,0,53,83,27,12,2,1,,FORWARD,normal
1,0.1,2026-04-22T02:43:05.880080+00:00,0x18F182A0,10,28,116,126,0,0,0,0,1,,FORWARD,normal
1,0.1,2026-04-22T02:43:05.880080+00:00,0x18F183A0,144,1,82,0,143,4,143,3,1,,FORWARD,normal
1,0.1,2026-04-22T02:43:05.880080+00:00,0x18F184A0,123,101,52,48,64,38,68,58,1,,FORWARD,normal
1,0.1,2026-04-22T02:43:05.880080+00:00,0x18F185A0,255,255,0,0,96,41,0,0,1,,FORWARD,normal
1,0.1,2026-04-22T02:43:05.880080+00:00,0x18F189A0,97,0,6,0,0,0,0,0,1,,FORWARD,normal
1,0.1,2026-04-22T02:43:05.880080+00:00,0x18F190A0,143,3,1,1,220,0,0,0,1,,FORWARD,normal
2,0.2,2026-04-22T02:43:05.880323+00:00,0x18F181A0,0,2,0,53,83,27,12,2,1,,FORWARD,normal
2,0.2,2026-04-22T02:43:05.880323+00:00,0x18F182A0,9,25,116,126,0,0,0,0,1,,FORWARD,normal
2,0.2,2026-04-22T02:43:05.880323+00:00,0x18F183A0,144,1,83,0,145,4,143,3,1,,FORWARD,normal
2,0.2,2026-04-22T02:43:05.880323+00:00,0x18F184A0,123,101,52,48,64,37,68,58,1,,FORWARD,normal
2,0.2,2026-04-22T02:43:05.880323+00:00,0x18F185A0,255,255,0,0,96,41,0,0,1,,FORWARD,normal
2,0.2,2026-04-22T02:43:05.880323+00:00,0x18F189A0,99,0,6,0,0,0,0,0,1,,FORWARD,normal
2,0.2,2026-04-22T02:43:05.880323+00:00,0x18F190A0,143,3,1,1,221,0,0,0,1,,FORWARD,normal
3,0.3,2026-04-22T02:43:05.880525+00:00,0x18F181A0,0,2,0,53,83,27,12,2,1,,FORWARD,normal
3,0.3,2026-04-22T02:43:05.880525+00:00,0x18F182A0,10,26,115,126,0,0,0,0,1,,FORWARD,normal
3,0.3,2026-04-22T02:43:05.880525+00:00,0x18F183A0,144,1,85,0,145,4,142,3,1,,FORWARD,normal
3,0.3,2026-04-22T02:43:05.880525+00:00,0x18F184A0,123,101,52,48,64,37,68,58,1,,FORWARD,normal
3,0.3,2026-04-22T02:43:05.880525+00:00,0x18F185A0,255,255,0,0,96,41,0,0,1,,FORWARD,normal
3,0.3,2026-04-22T02:43:05.880525+00:00,0x18F189A0,97,0,6,0,0,0,0,0,1,,FORWARD,normal
3,0.3,2026-04-22T02:43:05.880525+00:00,0x18F190A0,142,3,1,1,220,0,0,0,1,,FORWARD,normal
4,0.4,2026-04-22T02:43:05.880719+00:00,0x18F181A0,0,2,0,53,83,27,12,2,1,,FORWARD,normal
4,0.4,2026-04-22T02:43:05.880719+00:00,0x18F182A0,9,25,115,126,0,0,0,0,1,,FORWARD,normal
4,0.4,2026-04-22T02:43:05.880719+00:00,0x18F183A0,144,1,86,0,167,4,143,3,1,,FORWARD,normal
4,0.4,2026-04-22T02:43:05.880719+00:00,0x18F184A0,123,101,52,48,64,38,68,58,1,,FORWARD,normal
4,0.4,2026-04-22T02:43:05.880719+00:00,0x18F185A0,255,255,0,0,96,41,0,0,1,,FORWARD,normal
4,0.4,2026-04-22T02:43:05.880719+00:00,0x18F189A0,101,0,6,0,0,0,0,0,1,,FORWARD,normal
4,0.4,2026-04-22T02:43:05.880719+00:00,0x18F190A0,143,3,1,1,220,0,0,0,1,,FORWARD,normal
5,0.5,2026-04-22T02:43:05.880905+00:00,0x18F181A0,0,2,0,53,83,27,12,2,1,,FORWARD,normal
5,0.5,2026-04-22T02:43:05.880905+00:00,0x18F182A0,12,27,115,126,0,0,0,0,1,,FORWARD,normal
5,0.5,2026-04-22T02:43:05.880905+00:00,0x18F183A0,144,1,86,0,179,4,142,3,1,,FORWARD,normal
5,0.5,2026-04-22T02:43:05.880905+00:00,0x18F184A0,123,101,52,48,64,38,68,58,1,,FORWARD,normal
5,0.5,2026-04-22T02:43:05.880905+00:00,0x18F185A0,255,255,0,0,96,41,0,0,1,,FORWARD,normal
5,0.5,2026-04-22T02:43:05.880905+00:00,0x18F189A0,98,0,6,0,0,0,0,0,1,,FORWARD,normal
5,0.5,2026-04-22T02:43:05.880905+00:00,0x18F190A0,142,3,1,1,219,0,0,0,1,,FORWARD,normal
6,0.6,2026-04-22T02:43:05.881084+00:00,0x18F181A0,0,2,0,53,83,27,12,2,1,,FORWARD,normal
6,0.6,2026-04-22T02:43:05.881084+00:00,0x18F182A0,10,26,116,126,0,0,0,0,1,,FORWARD,normal
6,0.6,2026-04-22T02:43:05.881084+00:00,0x18F183A0,144,1,87,0,178,4,143,3,1,,FORWARD,normal
6,0.6,2026-04-22T02:43:05.881084+00:00,0x18F184A0,123,101,52,48,64,37,68,58,1,,FORWARD,normal
6,0.6,2026-04-22T02:43:05.881084+00:00,0x18F185A0,255,255,0,0,96,41,0,0,1,,FORWARD,normal
6,0.6,2026-04-22T02:43:05.881084+00:00,0x18F189A0,101,0,6,0,0,0,0,0,1,,FORWARD,normal
6,0.6,2026-04-22T02:43:05.881084+00:00,0x18F190A0,143,3,1,1,218,0,0,0,1,,FORWARD,normal
7,0.7,2026-04-22T02:43:05.881253+00:00,0x18F181A0,0,2,0,53,83,27,12,2,1,,FORWARD,normal
7,0.7,2026-04-22T02:43:05.881253+00:00,0x18F182A0,12,27,115,126,0,0,0,0,1,,FORWARD,normal
7,0.7,2026-04-22T02:43:05.881253+00:00,0x18F183A0,144,1,88,0,172,4,142,3,1,,FORWARD,normal
7,0.7,2026-04-22T02:43:05.881253+00:00,0x18F184A0,123,101,52,48,64,38,68,58,1,,FORWARD,normal
7,0.7,2026-04-22T02:43:05.881253+00:00,0x18F185A0,255,255,0,0,96,41,0,0,1,,FORWARD,normal
7,0.7,2026-04-22T02:43:05.881253+00:00,0x18F189A0,99,0,6,0,0,0,0,0,1,,FORWARD,normal
7,0.7,2026-04-22T02:43:05.881253+00:00,0x18F190A0,142,3,1,1,219,0,0,0,1,,FORWARD,normal
8,0.8,2026-04-22T02:43:05.881421+00:00,0x18F181A0,0,2,0,53,83,27,12,2,1,,FORWARD,normal
8,0.8,2026-04-22T02:43:05.881421+00:00,0x18F182A0,11,27,117,126,0,0,0,0,1,,FORWARD,normal
8,0.8,2026-04-22T02:43:05.881421+00:00,0x18F183A0,144,1,89,0,195,4,142,3,1,,FORWARD,normal
8,0.8,2026-04-22T02:43:05.881421+00:00,0x18F184A0,123,101,52,48,64,37,68,58,1,,FORWARD,normal
8,0.8,2026-04-22T02:43:05.881421+00:00,0x18F185A0,255,255,0,0,96,41,0,0,1,,FORWARD,normal
8,0.8,2026-04-22T02:43:05.881421+00:00,0x18F189A0,97,0,6,0,0,0,0,0,1,,FORWARD,normal
8,0.8,2026-04-22T02:43:05.881421+00:00,0x18F190A0,142,3,1,1,217,0,0,0,1,,FORWARD,normal
9,0.9,2026-04-22T02:43:05.881612+00:00,0x18F181A0,0,2,0,53,83,27,12,2,1,,FORWARD,normal
