step,t_sec,timestamp_utc,frame_id_hex,byte0,byte1,byte2,byte3,byte4,byte5,byte6,byte7,can_heartbeat_ok,warning_tag,control_action,risk_level
0,0.0,2026-04-22T08:40:39.655475+00:00,0x18F181A0,0,2,0,59,92,27,12,2,1,,FORWARD,normal
0,0.0,2026-04-22T08:40:39.655475+00:00,0x18F182A0,157,78,160,118,0,0,0,0,1,,FORWARD,normal
0,0.0,2026-04-22T08:40:39.655475+00:00,0x18F183A0,144,1,67,0,244,3,124,3,1,,FORWARD,normal
0,0.0,2026-04-22T08:40:39.655475+00:00,0x18F184A0,128,101,60,56,87,112,68,58,1,,FORWARD,normal
0,0.0,2026-04-22T08:40:39.655475+00:00,0x18F185A0,255,255,0,0,96,41,0,0,1,,FORWARD,normal
0,0.0,2026-04-22T08:40:39.655475+00:00,0x18F189A0,133,0,5,0,0,0,0,0,1,,FORWARD,normal
0,0.0,2026-04-22T08:40:39.655475+00:00,0x18F190A0,124,3,1,1,220,0,0,0,1,,FORWARD,normal
1,0.1,2026-04-22T08:40:39.655791+00:00,0x18F181A0,0,2,0,59,92,27,12,2,1,,FORWARD,normal
1,0.1,2026-04-22T08:40:39.655791+00:00,0x18F182A0,161,81,162,119,0,0,0,0,1,,FORWARD,normal
1,0.1,2026-04-22T08:40:39.655791+00:00,0x18F183A0,144,1,67,0,4,4,151,3,1,,FORWARD,normal
1,0.1,2026-04-22T08:40:39.655791+00:00,0x18F184A0,128,101,60,55,87,111,68,58,1,,FORWARD,normal
1,0.1,2026-04-22T08:40:39.655791+00:00,0x18F185A0,255,255,0,0,96,41,0,0,1,,FORWARD,normal
1,0.1,2026-04-22T08:40:39.655791+00:00,0x18F189A0,133,0,6,0,0,0,0,0,1,,FORWARD,normal
1,0.1,2026-04-22T08:40:39.655791+00:00,0x18F190A0,151,3,1,1,218,0,0,0,1,,FORWARD,normal
2,0.2,2026-04-22T08:40:39.656059+00:00,0x18F181A0,0,2,0,58,92,27,12,2,1,,FORWARD,normal
2,0.2,2026-04-22T08:40:39.656059+00:00,0x18F182A0,158,81,160,119,0,0,0,0,1,,FORWARD,normal
2,0.2,2026-04-22T08:40:39.656059+00:00,0x18F183A0,144,1,68,0,229,3,148,3,1,,FORWARD,normal
2,0.2,2026-04-22T08:40:39.656059+00:00,0x18F184A0,128,101,59,55,87,113,68,58,1,,FORWARD,normal
2,0.2,2026-04-22T08:40:39.656059+00:00,0x18F185A0,255,255,0,0,96,41,0,0,1,,FORWARD,normal
2,0.2,2026-04-22T08:40:39.656059+00:00,0x18F189A0,133,0,6,0,0,0,0,0,1,,FORWARD,normal
2,0.2,2026-04-22T08:40:39.656059+00:00,0x18F190A0,148,3,1,1,217,0,0,0,1,,FORWARD,normal
3,0.3,2026-04-22T08:40:39.656296+00:00,0x18F181A0,0,2,0,58,92,27,12,2,1,,FORWARD,normal
3,0.3,2026-04-22T08:40:39.656296+00:00,0x18F182A0,156,78,161,119,0,0,0,0,1,,FORWARD,normal
3,0.3,2026-04-22T08:40:39.656296+00:00,0x18F183A0,144,1,68,0,6,4,128,3,1,,FORWARD,normal
3,0.3,2026-04-22T08:40:39.656296+00:00,0x18F184A0,128,101,59,55,87,112,68,58,1,,FORWARD,normal
3,0.3,2026-04-22T08:40:39.656296+00:00,0x18F185A0,255,255,0,0,96,41,0,0,1,,FORWARD,normal
3,0.3,2026-04-22T08:40:39.656296+00:00,0x18F189A0,134,0,6,0,0,0,0,0,1,,FORWARD,normal
3,0.3,2026-04-22T08:40:39.656296+00:00,0x18F190A0,128,3,1,1,220,0,0,0,1,,FORWARD,normal
4,0.4,2026-04-22T08:40:39.656521+00:00,0x18F181A0,0,2,0,58,92,27,12,2,1,,FORWARD,normal
4,0.4,2026-04-22T08:40:39.656521+00:00,0x18F182A0,159,84,162,120,0,0,0,0,1,,FORWARD,normal
4,0.4,2026-04-22T08:40:39.656521+00:00,0x18F183A0,144,1,69,0,1,4,153,3,1,,FORWARD,normal
4,0.4,2026-04-22T08:40:39.656521+00:00,0x18F184A0,128,101,59,55,87,112,68,58,1,,FORWARD,normal
4,0.4,2026-04-22T08:40:39.656521+00:00,0x18F185A0,255,255,0,0,96,41,0,0,1,,FORWARD,normal
4,0.4,2026-04-22T08:40:39.656521+00:00,0x18F189A0,134,0,6,0,0,0,0,0,1,,FORWARD,normal
4,0.4,2026-04-22T08:40:39.656521+00:00,0x18F190A0,153,3,1,1,220,0,0,0,1,,FORWARD,normal
5,0.5,2026-04-22T08:40:39.656735+00:00,0x18F181A0,0,2,0,58,92,27,12,2,1,,FORWARD,normal
5,0.5,2026-04-22T08:40:39.656735+00:00,0x18F182A0,158,79,160,119,0,0,0,0,1,,FORWARD,normal
5,0.5,2026-04-22T08:40:39.656735+00:00,0x18F183A0,144,1,69,0,6,4,117,3,1,,FORWARD,normal
5,0.5,2026-04-22T08:40:39.656735+00:00,0x18F184A0,127,101,58,55,87,113,68,58,1,,FORWARD,normal
5,0.5,2026-04-22T08:40:39.656735+00:00,0x18F185A0,255,255,0,0,96,41,0,0,1,,FORWARD,normal
5,0.5,2026-04-22T08:40:39.656735+00:00,0x18F189A0,134,0,7,0,0,0,0,0,1,,FORWARD,normal
5,0.5,2026-04-22T08:40:39.656735+00:00,0x18F190A0,117,3,1,1,217,0,0,0,1,,FORWARD,normal
6,0.6,2026-04-22T08:40:39.656947+00:00,0x18F181A0,0,2,0,57,92,27,12,2,1,,FORWARD,normal
6,0.6,2026-04-22T08:40:39.656947+00:00,0x18F182A0,158,79,159,118,0,0,0,0,1,,FORWARD,normal
6,0.6,2026-04-22T08:40:39.656947+00:00,0x18F183A0,144,1,71,0,253,3,134,3,1,,FORWARD,normal
6,0.6,2026-04-22T08:40:39.656947+00:00,0x18F184A0,127,101,58,55,87,113,68,58,1,,FORWARD,normal
6,0.6,2026-04-22T08:40:39.656947+00:00,0x18F185A0,255,255,0,0,96,41,0,0,1,,FORWARD,normal
6,0.6,2026-04-22T08:40:39.656947+00:00,0x18F189A0,135,0,6,0,0,0,0,0,1,,FORWARD,normal
6,0.6,2026-04-22T08:40:39.656947+00:00,0x18F190A0,134,3,1,1,222,0,0,0,1,,FORWARD,normal
7,0.7,2026-04-22T08:40:39.657154+00:00,0x18F181A0,0,2,0,57,92,27,12,2,1,,FORWARD,normal
